first_name,last_name,email,date_of_birth,salary,field,sex,languages_know,answer
Peter,Farmer,rachelgrant@yahoo.com,16/10/1995,9637,Data & IA,F,"c_sharp,R",False
Carol,Smith,ramirezkathy@hotmail.com,27/04/1997,8475,Literature,F,"java,python",True
Sharon,Williams,tking@hotmail.com,17/06/1994,9898,Art,M,"c_sharp,c,php",False
Robert,Evans,yboyd@gmail.com,13/12/2003,10286,Science,M,c,False
Elizabeth,Patel,loganporter@gmail.com,06/02/1999,13612,Software engineering,F,,False
Sarah,Mason,sabrina86@lopez.com,09/09/2006,14423,Marketing,M,java,False
Christopher,Carpenter,heather45@walker-martinez.org,05/03/1998,9169,Finance,M,"R,c_sharp,c++",True
Zachary,Phillips,jose07@anderson.com,28/04/2002,11781,Literature,F,"c_sharp,R",False
Johnny,Boyd,dhunt@evans.info,03/10/1999,13040,Finance,M,java,True
Karen,Williams,veronica48@yahoo.com,23/07/1995,9367,Literature,F,"R,python,java",False
Samantha,Johnson,bucksarah@strickland.org,24/05/2006,11994,Finance,F,,True
Hannah,Davis,underwoodfrancisco@gmail.com,09/06/2001,14307,Finance,M,,True
Kevin,Salinas,zsutton@gmail.com,21/07/1997,8351,Finance,M,,True
Jamie,Reed,robert70@thornton-rivera.com,31/08/2001,9794,Science,M,"java,R",True
Taylor,Burgess,elizabeth39@gmail.com,04/11/2005,9632,Software engineering,F,,False
Emily,Beasley,davealexander@hotmail.com,07/04/1997,14953,Literature,F,,True
Michelle,Allison,christophercox@yahoo.com,18/06/1998,13901,Data & IA,M,c,True
Johnny,Alexander,vegacheyenne@holt.com,30/05/2001,11397,Software engineering,F,c++,True
Todd,Nelson,mcintoshmatthew@cook-valencia.com,15/06/2005,14416,Art,F,python,True
Lindsey,Campbell,hmyers@hunt-bentley.com,11/07/1998,8516,Literature,F,"c++,R,python",False
Joy,Gonzalez,emills@mitchell-campbell.org,05/04/2000,11631,Art,F,"c,c++,python",False
Rodney,Johnson,jpatrick@gmail.com,10/03/1995,11434,Science,M,"java,c_sharp",False
Mark,Vega,amanda35@sanders-jackson.com,10/10/2006,14501,Finance,F,"c_sharp,R",False
Nancy,Taylor,etaylor@hotmail.com,10/04/2003,11678,Data & IA,M,,False
Richard,Johnson,hilllouis@hotmail.com,25/08/2001,11239,Science,M,java,True
Bridget,Murray,nhanson@hotmail.com,28/10/1998,10951,Marketing,M,R,False
Erik,Hawkins,dray@yahoo.com,12/06/2003,12121,Software engineering,M,"php,R,c",False
Christine,Boyd,mccarthysharon@english-moore.net,24/09/1995,13127,Finance,F,,False
Brianna,Ryan,patriciaharding@hotmail.com,07/02/1994,11846,Art,F,"java,php",False
Lisa,Wilkinson,nicolehebert@fitzgerald.biz,25/05/2000,11916,Science,M,,True
Alfred,Salinas,amandamitchell@vaughan.com,29/10/2000,13591,Software engineering,F,,True
Stephanie,Johnson,michael01@gmail.com,10/09/2003,8646,Marketing,F,"php,R,java",True
Cathy,Smith,kevin39@huffman.com,06/09/2001,13989,Software engineering,F,"python,R,c++",True
Steven,Miller,karenmclean@parker-bond.com,22/11/2000,13585,Literature,M,R,False
Shannon,Woods,qballard@williams-pena.com,07/01/1999,9623,Science,M,"R,php,python",False
Justin,Garcia,ajames@hotmail.com,04/09/1994,14065,Software engineering,F,c,True
Patricia,Hanson,jeanettewilliamson@hotmail.com,28/02/2004,8172,Literature,M,"c,python",True
Heather,Williams,ithomas@hotmail.com,11/03/2005,13375,Marketing,M,c,True
Stephanie,Vincent,cabrerajohn@yahoo.com,29/08/2002,9655,Finance,M,php,True
Michael,Wu,cchung@hotmail.com,04/07/2000,10361,Finance,F,,True
Adrienne,Hall,orrpedro@barrett-faulkner.org,22/08/2004,11169,Art,F,"java,php,c",True
Adam,Combs,uharrell@mcdonald.info,27/09/1998,9024,Marketing,F,,True
Paul,Burns,conneremily@gmail.com,20/11/2005,14832,Literature,M,"python,php,java",True
Ronald,Ross,xrobbins@harvey.biz,22/05/2006,12639,Marketing,M,,True
Corey,Terry,lproctor@webb.com,07/11/2005,10259,Literature,F,"python,c_sharp,c",True
Madison,Padilla,brewernathaniel@hotmail.com,24/04/2000,12126,Marketing,M,"java,R",True
Elaine,Long,jennifer30@shaw.org,24/08/2000,10307,Software engineering,F,"java,php,python",False
Chad,Wright,rebecca83@nelson.biz,09/12/1998,8280,Software engineering,M,"c++,java,python",True
Emma,Williamson,foxchad@gmail.com,30/05/2002,9417,Marketing,M,"R,python,c++",False
Kathy,Ward,meghanpeterson@yahoo.com,01/07/1994,9057,Data & IA,M,"c++,java,php",False
Robert,Garrett,sarah79@hotmail.com,10/02/1996,11428,Art,F,c,True
Michelle,Simon,littleralph@knox-bauer.info,08/02/1995,11314,Science,F,"R,python,php",False
Kelly,Padilla,steeleamy@hotmail.com,24/03/2002,11950,Art,M,,False
John,Turner,qgallegos@hotmail.com,19/04/1999,12749,Marketing,M,php,True
Steven,Stark,stewartariana@galvan.biz,27/03/1995,11906,Data & IA,M,python,True
Julie,Ritter,gloriali@andrade.org,16/10/2002,13613,Data & IA,F,c,False
Rachel,Wright,alvarezlori@gmail.com,03/08/1994,9268,Art,M,,True
Frederick,Hammond,rherring@hotmail.com,03/04/2003,9244,Art,F,,True
George,Hanson,kevinray@yahoo.com,29/04/1994,8923,Marketing,F,c_sharp,True
Shannon,Roy,lunamichelle@yahoo.com,25/07/2004,12969,Marketing,M,"R,python",True
Jaclyn,Rivera,michaelwilson@hotmail.com,19/02/2004,12342,Marketing,F,R,True
Noah,Wise,jeffrey04@yahoo.com,01/03/1994,12451,Art,M,"c++,python,java",False
Erica,Fox,rebeccaduncan@barnett-cannon.com,19/10/2002,11444,Science,M,python,True
Joanna,Chapman,robert98@yahoo.com,30/10/2004,13162,Science,F,"java,php",True
Lauren,Jones,bonniemcgee@gmail.com,11/07/2000,10972,Software engineering,F,"c_sharp,c++,java",True
Grace,Stewart,hartmandaniel@yahoo.com,04/11/1998,13493,Software engineering,M,"R,php,c_sharp",False
Amanda,Harper,linda38@gmail.com,19/04/2002,14802,Science,F,"R,python",False
Jennifer,Hall,lgarcia@yang.biz,24/02/2001,13278,Literature,F,"c++,java",False
Jacob,Weber,lsmith@hotmail.com,15/02/1999,9361,Literature,M,"R,php",True
Lauren,Smith,holtsamantha@collins.org,14/05/1996,10096,Software engineering,F,"java,c++",True
Toni,Miller,ronaldsanchez@snyder.com,31/01/2005,12205,Art,F,,True
Michael,Miller,hilljennifer@velez.org,17/04/1999,12482,Science,M,php,True
Judy,Johnson,patricia41@howard.com,09/08/2000,11236,Marketing,F,"c++,c_sharp,php",False
Sara,Salazar,williamlawrence@yahoo.com,09/09/1996,8088,Software engineering,F,python,False
Sandra,Garner,smithadam@wright-hill.com,16/02/2006,13725,Software engineering,M,"c++,c_sharp,c",False
Amber,Williams,wgreen@white.org,05/11/1994,14337,Literature,F,"c_sharp,php,python",False
Sheena,Valdez,lindsaymurphy@yahoo.com,14/12/1998,8091,Marketing,M,c,True
Grace,Smith,victoriafoster@greene.net,23/03/2006,13577,Art,M,c_sharp,False
Karla,Peterson,perkinsjocelyn@williams.com,04/04/1996,14413,Marketing,M,,True
Melissa,Bennett,xhiggins@hotmail.com,31/05/2003,8879,Marketing,M,"php,R",False
Bruce,Munoz,bdougherty@morgan.com,20/07/1997,10175,Art,F,"R,python,c_sharp",False
Jessica,Bailey,jeffreyford@hotmail.com,13/07/2001,12077,Data & IA,M,"c_sharp,java,python",False
John,Carlson,hendersonjoshua@yahoo.com,05/01/2001,12780,Art,M,"c++,c",False
James,Walker,rwolfe@hotmail.com,01/02/1994,14636,Finance,F,"php,c++",True
Mary,Thompson,john49@yahoo.com,02/01/1994,10365,Software engineering,M,"python,c,php",False
Jason,Ruiz,andrea46@perkins.com,05/08/2002,11225,Literature,F,R,True
Kayla,Hoffman,kellyfitzgerald@hotmail.com,29/03/2002,12881,Software engineering,M,"c++,python",False
Chris,Diaz,michael22@yahoo.com,14/05/2000,10266,Data & IA,F,"php,c,R",False
Vincent,Holland,veronica07@figueroa-prince.com,02/09/2000,14511,Marketing,M,,True
Calvin,Knight,ocrawford@clark.info,14/11/1996,12432,Art,F,"java,c++,c",True
Michael,Short,brian55@gmail.com,05/08/2000,10299,Literature,M,,False
Troy,Torres,diazrodney@yahoo.com,04/04/2000,14020,Literature,M,"c,python,R",False
John,Wall,joseph87@yahoo.com,08/05/2002,10153,Marketing,F,"R,java,php",True
Julie,Hudson,ronald91@randolph.com,06/06/1999,8029,Finance,M,"java,c++",True
Christopher,Sexton,jpatrick@robertson.com,13/01/2002,8992,Software engineering,M,,True
Tracy,Lamb,jasonwalker@gmail.com,14/02/1996,13055,Art,M,"c_sharp,python",False
Brandon,Patterson,twagner@wilson.com,21/02/1998,13144,Art,F,"c,R",True
Justin,Alvarado,fitzpatrickmitchell@floyd.org,01/09/2001,8360,Science,F,,True
Nicholas,Ellis,vshelton@hotmail.com,16/06/1999,13678,Finance,M,"c_sharp,c++",True
Colin,Padilla,rogermoore@gmail.com,22/03/1998,8957,Literature,F,c_sharp,False
Micheal,Morrison,sandra18@hotmail.com,03/06/2003,13328,Software engineering,M,"R,c_sharp",False
